city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,max_business_density,historic_method,business_method,utm_crs,core_radius_km,grid_cell_m,buffer_m,include_shops,business_points
"Paris, France",2.3500501,48.8529371,2.3524005091866487,48.86473802395617,1323.1372262435782,1720.0,"geocode:Notre-Dame Cathedral, Paris, France",max_business_density_top5avg,EPSG:32631,12.0,600.0,600.0,True,35659
"London, UK",-0.0984506,51.5137872,-0.13914930647381005,51.51437974868496,2826.293423704338,1680.0,"geocode:St Paul's Cathedral, London, UK",max_business_density_top5avg,EPSG:32630,10.0,600.0,600.0,True,36171
"Berlin, Germany",13.3777034,52.5162699,13.334450942442915,52.5084578857068,3061.6730810371796,733.0,"geocode:Brandenburg Gate, Berlin, Germany",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,32224
"Rome, Italy",12.4768334,41.898616,12.486184849914464,41.90257758911091,892.1765056511312,622.0,"geocode:Pantheon, Rome, Italy",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,11174
"Madrid, Spain",-3.7038762,40.416863,-3.7050209637566383,40.41904245499534,260.6936055080729,1278.0,"geocode:Puerta del Sol, Madrid, Spain",max_business_density_top5avg,EPSG:32630,12.0,600.0,600.0,True,18070
"Lisbon, Portugal",-9.1365543,38.7077934,-9.13949954539216,38.72017303906783,1397.3774078393474,706.0,"geocode:Praça do Comércio, Lisbon, Portugal",max_business_density_top5avg,EPSG:32629,12.0,600.0,600.0,True,7719
"Amsterdam, Netherlands",4.8923511,52.3731162,4.892463789031416,52.37154850618519,174.57869438509408,1084.0,"geocode:Dam Square, Amsterdam, Netherlands",max_business_density_top5avg,EPSG:32631,12.0,600.0,600.0,True,8969
"Brussels, Belgium",4.3525151,50.8467139,4.354232576601907,50.847079153662925,127.5647235430165,1257.0,"geocode:Grand-Place, Brussels, Belgium",max_business_density_top5avg,EPSG:32631,12.0,600.0,600.0,True,4086
"Luxembourg City, Luxembourg",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Copenhagen, Denmark",12.5800406,55.6756505,12.570133764213525,55.677354457484164,787.8357257606142,688.0,"geocode:Christiansborg Palace, Copenhagen, Denmark",max_business_density_top5avg,EPSG:32618,12.0,600.0,600.0,True,7714
"Stockholm, Sweden",18.0708198,59.3249967,18.066443728267917,59.33661608988713,1318.125605970033,751.0,"geocode:Stortorget, Stockholm, Sweden",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,6711
"Oslo, Norway",10.7372089,59.9075982,10.744401892622143,59.914559536928955,873.5185915122902,843.0,"geocode:Akershus Fortress, Oslo, Norway",max_business_density_top5avg,EPSG:32632,12.0,600.0,600.0,True,5375
"Helsinki, Finland",24.9522693,60.1695115,24.94172388227806,60.16497543269349,773.2352830618216,1380.0,"geocode:Senate Square, Helsinki, Finland",max_business_density_top5avg,EPSG:32635,12.0,600.0,600.0,True,6933
"Dublin, Ireland",-6.2670108,53.3426096,-6.26146973113716,53.344962484530114,452.516431253388,1122.0,"geocode:Dublin Castle, Dublin, Ireland",max_business_density_top5avg,EPSG:32629,12.0,600.0,600.0,True,8029
"Reykjavik, Iceland",-21.9397458,64.1472129,-21.918184166209226,64.14187009715923,1206.3634012765294,274.0,"geocode:Austurvöllur, Reykjavík, Iceland",max_business_density_top5avg,EPSG:32627,12.0,600.0,600.0,True,1373
"Vienna, Austria",16.3715166,48.2080838,16.36847106440796,48.20854015138874,231.9124631190632,930.0,"geocode:Stephansplatz, Vienna, Austria",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,16862
"Prague, Czechia",14.4209714,50.0874453,14.42298725837564,50.083696549815485,441.0622661333923,754.0,"geocode:Old Town Square, Prague, Czechia",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,11073
"Warsaw, Poland",21.0137866,52.2479394,21.008843076621986,52.22926077886424,2104.819708945497,923.0,"geocode:Castle Square, Warsaw, Poland",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,25627
"Budapest, Hungary",19.0398008,47.4959913,19.05815185941185,47.5041227103781,1651.7426704298457,764.0,"geocode:Buda Castle, Budapest, Hungary",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,16782
"Bratislava, Slovakia",17.1004695,48.1425867,17.11735456087291,48.14779945411444,1383.624111364393,715.0,"geocode:Bratislava Castle, Bratislava, Slovakia",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,7464
"Ljubljana, Slovenia",14.5085383,46.0487819,14.505875175503775,46.05266188753452,477.8058988998485,359.0,"geocode:Ljubljana Castle, Ljubljana, Slovenia",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,2159
"Zagreb, Croatia",15.9768439,45.8129597,15.980325970532112,45.812530560269316,274.7217328666638,627.0,"geocode:Ban Jelačić Square, Zagreb, Croatia",max_business_density_top5avg,EPSG:32633,12.0,600.0,600.0,True,6859
"Belgrade, Serbia",20.4636565,44.8170439,20.464335232029484,44.80974623223327,812.4442908583738,801.0,"geocode:Old Town, Belgrade, Serbia",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,10368
"Sarajevo, Bosnia and Herzegovina",18.4308468,43.8590422,18.41450022031231,43.85851396946227,1315.6806661051176,383.0,"geocode:Baščaršija, Sarajevo",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,1658
"Podgorica, Montenegro",19.2602111,42.4354871,19.24873082721784,42.43812881459928,989.0020514923959,199.0,"geocode:Stara Varoš, Podgorica, Montenegro",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,962
"Skopje, North Macedonia",21.4331801,41.9970981,21.429147614274065,41.99511192722625,400.22318652787044,273.0,"geocode:Stone Bridge, Skopje",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,1887
"Tirana, Albania",19.8176642,41.3285484,19.813974552215022,41.32607039342195,413.5891461745302,571.0,"geocode:Skanderbeg Square, Tirana, Albania",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,3822
"Athens, Greece",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Sofia, Bulgaria",23.3327934,42.6958124,23.320406155520374,42.696320178893906,1016.6458568979726,1941.0,"geocode:Alexander Nevsky Cathedral, Sofia, Bulgaria",max_business_density_top5avg,EPSG:32634,12.0,600.0,600.0,True,20233
"Bucharest, Romania",26.1008803,44.4349679,26.091138755921964,44.436951833875135,806.0402443122699,328.0,"geocode:University Square, Bucharest, Romania",max_business_density_top5avg,EPSG:32635,12.0,600.0,600.0,True,10305
"Chișinău, Moldova",28.8340321,47.0257107,28.829708256851944,47.02137658892053,583.1800221210533,684.0,"geocode:Cathedral Park, Chișinău, Moldova",max_business_density_top5avg,EPSG:32635,12.0,600.0,600.0,True,8005
"Kyiv, Ukraine",30.5240622,50.4502431,30.518592562691524,50.44289940057575,904.5568890816568,581.0,"geocode:Maidan Nezalezhnosti, Kyiv, Ukraine",max_business_density_top5avg,EPSG:32636,12.0,600.0,600.0,True,18846
"Minsk, Belarus",27.5459607,53.8955942,27.556893279911552,53.904461029034955,1220.3551988838271,498.0,"geocode:Independence Square, Minsk, Belarus",max_business_density_top5avg,EPSG:32635,12.0,600.0,600.0,True,16592
"Moscow, Russia",37.6215013,55.7535908,37.61000569305014,55.693954253219474,6676.867193398677,295.0,"geocode:Red Square, Moscow, Russia",max_business_density_top5avg,EPSG:32637,10.0,600.0,600.0,True,14065
"Saint Petersburg, Russia",30.3153537,59.9390434,30.340778244682387,59.928355232778536,1854.1379351961498,1205.0,"geocode:Palace Square, Saint Petersburg, Russia",max_business_density_top5avg,EPSG:32636,12.0,600.0,600.0,True,20452
"Istanbul, Turkey",28.9759773,41.0065157,28.963957884898253,41.01361050970313,1281.7648324134873,1601.0,"geocode:Sultanahmet Square, Istanbul, Turkey",max_business_density_top5avg,EPSG:32635,12.0,600.0,600.0,True,22483
"Ankara, Turkey",32.8548669,39.9416575,32.79287797673267,39.95041541679067,5384.006990723847,324.0,"geocode:Ulus Square, Ankara, Turkey",max_business_density_top5avg,EPSG:32636,12.0,600.0,600.0,True,4824
"Tbilisi, Georgia",44.8011327,41.6937081,44.777593127112794,41.711538780799344,2784.749275895888,628.0,"geocode:Freedom Square, Tbilisi, Georgia",max_business_density_top5avg,EPSG:32638,12.0,600.0,600.0,True,12534
"Yerevan, Armenia",44.512877,40.1780258,44.515593669884154,40.18266066009133,564.0513373727996,806.0,"geocode:Republic Square, Yerevan, Armenia",max_business_density_top5avg,EPSG:32638,12.0,600.0,600.0,True,7583
"Baku, Azerbaijan",49.8316472,40.3659588,49.839188572853644,40.374031196003514,1101.382332094678,324.0,"geocode:Icherisheher, Baku, Azerbaijan",max_business_density_top5avg,EPSG:32639,12.0,600.0,600.0,True,5571
"Jerusalem, Israel",35.2319526,31.7782872,35.22632836704806,31.781817243466122,661.1566997554241,170.0,"geocode:Old City, Jerusalem",max_business_density_top5avg,EPSG:32636,12.0,600.0,600.0,True,954
"Amman, Jordan",35.936707,31.9544825,35.92838229372838,31.952217459721545,826.6565469784607,501.0,"geocode:Amman Citadel, Amman, Jordan",max_business_density_top5avg,EPSG:32637,12.0,600.0,600.0,True,3026
"Beirut, Lebanon",35.5068836,33.8954047,35.51149776340456,33.89089700809136,657.5646836275996,272.0,"geocode:Martyrs' Square, Beirut, Lebanon",max_business_density_top5avg,EPSG:32636,12.0,600.0,600.0,True,1419
"Riyadh, Saudi Arabia",,,,,,,error:AttributeError,error:AttributeError,,12.0,600.0,600.0,True,0
"Doha, Qatar",51.5328381,25.2883888,51.53687205690378,25.28199089027298,816.6367629225715,287.0,"geocode:Souq Waqif, Doha, Qatar",max_business_density_top5avg,EPSG:32639,12.0,600.0,600.0,True,2918
"Abu Dhabi, United Arab Emirates",54.3552764,24.4823377,54.37277551974591,24.494254583486786,2212.0936472543463,831.0,"geocode:Qasr Al Hosn, Abu Dhabi, UAE",max_business_density_top5avg,EPSG:32640,12.0,600.0,600.0,True,4502
"Dubai, United Arab Emirates",55.30017,25.2642301,55.20515928723574,25.117277545210484,18886.37800942005,182.0,"geocode:Al Fahidi Historical Neighbourhood, Dubai, UAE",max_business_density_top5avg,EPSG:32640,12.0,600.0,600.0,True,2869
"Kuwait City, Kuwait",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Muscat, Oman",58.5948669,23.6162557,58.59025520606749,23.614001392458498,532.7184062257347,12.0,"geocode:Al Alam Palace, Muscat, Oman",max_business_density_top5avg,EPSG:32640,12.0,600.0,600.0,True,18
"Manama, Bahrain",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Tehran, Iran",51.4206138,35.6804205,51.42077737019052,35.6911696732308,1192.2911283062638,499.0,"geocode:Golestan Palace, Tehran, Iran",max_business_density_top5avg,EPSG:32639,12.0,600.0,600.0,True,16583
"Baghdad, Iraq",44.3898969,33.3418318,44.34524487359758,33.31732081537283,4965.461592734498,226.0,"geocode:Al-Mutanabbi Street, Baghdad, Iraq",max_business_density_top5avg,EPSG:32638,12.0,600.0,600.0,True,9121
"New Delhi, India",77.2294928,28.6129332,77.19152775803593,28.602468923479737,3890.741456680969,435.0,"geocode:India Gate, New Delhi, India",max_business_density_top5avg,EPSG:32643,12.0,600.0,600.0,True,2286
"Mumbai, India",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Islamabad, Pakistan",73.0373419,33.7299853,73.02575110557414,33.69019500924243,4542.374520381311,107.0,"geocode:Faisal Mosque, Islamabad, Pakistan",max_business_density_top5avg,EPSG:32643,12.0,600.0,600.0,True,1698
"Kabul, Afghanistan",69.1583798,34.5026029,69.17134344766141,34.534004446426756,3679.7258873554224,103.0,"geocode:Babur Gardens, Kabul, Afghanistan",max_business_density_top5avg,EPSG:32642,12.0,600.0,600.0,True,919
"Kathmandu, Nepal",85.3065551,27.7042916,85.32882461629255,27.698541506951088,2286.8989236208836,1272.0,"geocode:Kathmandu Durbar Square, Kathmandu, Nepal",max_business_density_top5avg,EPSG:32645,12.0,600.0,600.0,True,10168
"Dhaka, Bangladesh",90.3881528,23.718843,90.39727517968375,23.733656040135468,1886.8429735395873,1608.0,"geocode:Lalbagh Fort, Dhaka, Bangladesh",max_business_density_top5avg,EPSG:32646,12.0,600.0,600.0,True,15584
"Colombo, Sri Lanka",79.8500765,6.9337601,79.85912031536283,6.896593733713347,4229.163790790103,190.0,"geocode:Colombo Fort, Colombo, Sri Lanka",max_business_density_top5avg,EPSG:32644,12.0,600.0,600.0,True,1912
"Bangkok, Thailand",100.4918643,13.7493514,100.51614144845766,13.734457703644336,3099.6614941292346,1039.0,"geocode:Grand Palace, Bangkok, Thailand",max_business_density_top5avg,EPSG:32647,12.0,600.0,600.0,True,13469
"Hanoi, Vietnam",105.8525357,21.0288313,105.8499902371524,21.026727417552564,352.41899161509247,513.0,"geocode:Hoàn Kiếm Lake, Hanoi, Vietnam",max_business_density_top5avg,EPSG:32648,12.0,600.0,600.0,True,7108
"Ho Chi Minh City, Vietnam",106.6980365,10.7725301,106.6971462470937,10.771755620492952,129.69291144645723,363.0,"geocode:Bến Thành Market, Ho Chi Minh City, Vietnam",max_business_density_top5avg,EPSG:32648,12.0,600.0,600.0,True,5519
"Kuala Lumpur, Malaysia",101.693931,3.1476067,101.67831623757307,3.177370510359074,3723.4212747318547,883.0,"geocode:Merdeka Square, Kuala Lumpur, Malaysia",max_business_density_top5avg,EPSG:32647,12.0,600.0,600.0,True,12656
Singapore,103.8526448,1.2930272,103.85673271158976,1.30122409729025,1013.9410593748564,587.0,"geocode:City Hall, Singapore",max_business_density_top5avg,EPSG:32648,12.0,600.0,600.0,True,11629
"Jakarta, Indonesia",106.8271692,-6.1754024,106.82453029597058,-6.196571645068929,2359.4432023319523,180.0,"geocode:Monas, Jakarta, Indonesia",max_business_density_top5avg,EPSG:32748,12.0,600.0,600.0,True,9012
"Manila, Philippines",120.9746537,14.5909588,120.98193803533826,14.600793440046047,1341.936217762954,721.0,"geocode:Intramuros, Manila, Philippines",max_business_density_top5avg,EPSG:32651,12.0,600.0,600.0,True,4605
"Phnom Penh, Cambodia",104.9301471,11.5637725,104.9207927149005,11.564547973691198,1023.5155143695259,377.0,"geocode:Royal Palace, Phnom Penh, Cambodia",max_business_density_top5avg,EPSG:32648,12.0,600.0,600.0,True,3377
"Vientiane, Laos",102.6364902,17.9766636,102.60742211792262,17.96781907017415,3232.049048092345,266.0,"geocode:That Luang, Vientiane, Laos",max_business_density_top5avg,EPSG:32648,12.0,600.0,600.0,True,1639
"Yangon, Myanmar",96.1587667,16.7743702,96.15567199637711,16.781085472143324,813.9171175847956,290.0,"geocode:Sule Pagoda, Yangon, Myanmar",max_business_density_top5avg,EPSG:32646,12.0,600.0,600.0,True,5177
"Beijing, China",116.3914409,39.9027218,116.42562951045662,40.12384934892029,24716.65518945202,14.0,"geocode:Tiananmen Square, Beijing, China",max_business_density_top5avg,EPSG:32650,10.0,600.0,600.0,True,80
"Shanghai, China",121.487632,31.2353356,121.41379457762943,31.215614008696804,7366.150546747306,251.0,"geocode:The Bund, Shanghai, China",max_business_density_top5avg,EPSG:32651,10.0,600.0,600.0,True,6290
"Tokyo, Japan",139.7506859,35.6838467,139.77472267245267,35.705753582534356,3278.0427493878165,2608.0,"geocode:Imperial Palace, Tokyo, Japan",max_business_density_top5avg,EPSG:32655,10.0,600.0,600.0,True,29299
"Seoul, South Korea",126.9766818,37.579754,126.91965675227165,37.54997907857981,6025.24687319155,1854.0,"geocode:Gyeongbokgung Palace, Seoul, South Korea",max_business_density_top5avg,EPSG:32652,12.0,600.0,600.0,True,23233
"Taipei, Taiwan",121.5217812,25.0345759,121.51443222403758,25.048017691942636,1663.2605041948311,800.0,"geocode:Chiang Kai-shek Memorial Hall, Taipei, Taiwan",max_business_density_top5avg,EPSG:32651,12.0,600.0,600.0,True,14845
"Canberra, Australia",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Sydney, Australia",151.2083216,-33.859992,151.2076024627474,-33.87145711181243,1273.3714483476435,646.0,"geocode:The Rocks, Sydney, Australia",max_business_density_top5avg,EPSG:32756,12.0,600.0,600.0,True,9136
"Wellington, New Zealand",174.7803602,-41.2762651,174.77787241948943,-41.29042930917069,1586.8550159389424,475.0,"geocode:Old St Paul's, Wellington, New Zealand",max_business_density_top5avg,EPSG:32760,12.0,600.0,600.0,True,1811
"Auckland, New Zealand",174.7632385,-36.8529053,174.76909159814116,-36.8570730076711,697.4723162919953,549.0,"geocode:Auckland Town Hall, Auckland, New Zealand",max_business_density_top5avg,EPSG:32760,12.0,600.0,600.0,True,6991
"Washington, DC, USA",-77.0090208,38.889813,-77.04625892186561,38.90449209611033,3618.142165203193,307.0,"geocode:United States Capitol, Washington, DC, USA",max_business_density_top5avg,EPSG:32618,12.0,600.0,600.0,True,3993
"New York City, NY, USA",-74.010253,40.7073223,-73.99494530989668,40.725784609020494,2423.348175933094,790.0,"geocode:Federal Hall, New York, NY, USA",max_business_density_top5avg,EPSG:32618,10.0,600.0,600.0,True,18282
"Boston, MA, USA",-71.0562341,42.3600335,-71.06831141808976,42.353339934179175,1242.0656094511323,402.0,"geocode:Faneuil Hall, Boston, MA, USA",max_business_density_top5avg,EPSG:32619,12.0,600.0,600.0,True,2657
"Chicago, IL, USA",-87.6282334,41.8830439,-87.62958320788978,41.88580116394737,325.98197078033195,467.0,"geocode:The Loop, Chicago, IL, USA",max_business_density_top5avg,EPSG:32616,12.0,600.0,600.0,True,8146
"Los Angeles, CA, USA",-118.4659127,34.1943707,-118.25153855855079,34.046089264329865,25717.568902391657,244.0,"geocode:El Pueblo de Los Angeles, Los Angeles, CA, USA",max_business_density_top5avg,EPSG:32611,10.0,600.0,600.0,True,8483
"San Francisco, CA, USA",-122.4054267,37.7948307,-122.40680035546582,37.79272954800118,262.6321537086165,659.0,"geocode:Portsmouth Square, San Francisco, CA, USA",max_business_density_top5avg,EPSG:32610,12.0,600.0,600.0,True,5910
"Ottawa, Canada",-75.7030627,45.422839,-75.69371469435778,45.4235562474791,735.6772697131616,542.0,"geocode:Parliament Hill, Ottawa, Canada",max_business_density_top5avg,EPSG:32618,12.0,600.0,600.0,True,9747
"Toronto, Canada",-79.3821434,43.6526536,-79.38910390779714,43.6549430871661,616.3248878595263,626.0,"geocode:Old City Hall, Toronto, Canada",max_business_density_top5avg,EPSG:32617,12.0,600.0,600.0,True,14748
"Montreal, Canada",-73.5559901,45.5044365,-73.58108883210582,45.51265839382452,2163.2600835641397,485.0,"geocode:Notre-Dame Basilica, Montreal, Canada",max_business_density_top5avg,EPSG:32618,12.0,600.0,600.0,True,9947
"Mexico City, Mexico",-99.1331984,19.4326468,-99.13075416717513,19.369770540479923,6962.171484100409,144.0,"geocode:Zócalo, Mexico City, Mexico",max_business_density_top5avg,EPSG:32614,10.0,600.0,600.0,True,5600
"Havana, Cuba",-82.349565,23.1402086,-82.36661812057613,23.139032058189045,1751.097161022813,288.0,"geocode:Plaza de Armas, Havana, Cuba",max_business_density_top5avg,EPSG:32617,12.0,600.0,600.0,True,5423
"Panama City, Panama",,,,,,,error:TypeError,error:TypeError,,12.0,600.0,600.0,True,0
"Bogotá, Colombia",-74.0760044,4.598146,-74.06904076424321,4.644136108117952,5142.634432727658,755.0,"geocode:Plaza de Bolívar, Bogotá, Colombia",max_business_density_top5avg,EPSG:32618,12.0,600.0,600.0,True,24863
"Caracas, Venezuela",-66.9146252,10.5059994,-66.86700929410996,10.493922391251228,5382.252158220487,277.0,"geocode:Plaza Bolívar, Caracas, Venezuela",max_business_density_top5avg,EPSG:32619,12.0,600.0,600.0,True,5094
"Quito, Ecuador",-78.4354935,-0.195859,-78.50855714992726,-0.21636721069957804,8448.469402435892,818.0,"geocode:Plaza Grande, Quito, Ecuador",max_business_density_top5avg,EPSG:32717,12.0,600.0,600.0,True,18025
"Lima, Peru",-77.030577,-12.0459357,-77.00743803641849,-12.093177381539759,5802.678358557926,459.0,"geocode:Plaza Mayor, Lima, Peru",max_business_density_top5avg,EPSG:32718,12.0,600.0,600.0,True,13359
"La Paz, Bolivia",-68.1335593,-16.4957117,-68.11419311389643,-16.515590975761935,3018.12966346408,626.0,"geocode:Plaza Murillo, La Paz, Bolivia",max_business_density_top5avg,EPSG:32719,12.0,600.0,600.0,True,4843
"Santiago, Chile",-70.6512777,-33.4374154,-70.64649915851966,-33.45888587971928,2422.169129256161,793.0,"geocode:Plaza de Armas, Santiago, Chile",max_business_density_top5avg,EPSG:32719,12.0,600.0,600.0,True,4534
"Buenos Aires, Argentina",-58.3721787,-34.6084453,-58.44628752212675,-34.56683061397155,8216.571200959783,1143.0,"geocode:Plaza de Mayo, Buenos Aires, Argentina",max_business_density_top5avg,EPSG:32721,12.0,600.0,600.0,True,20040
"Montevideo, Uruguay",-56.1997577,-34.9064755,-56.18833133071422,-34.905242200087,1052.8595850255606,381.0,"geocode:Plaza Independencia, Montevideo, Uruguay",max_business_density_top5avg,EPSG:32721,12.0,600.0,600.0,True,5165
"Asunción, Paraguay",-57.6345922,-25.2798868,-57.62998243318639,-25.290757755610223,1290.198803797817,1044.0,"geocode:Plaza de Armas, Asunción, Paraguay",max_business_density_top5avg,EPSG:32721,12.0,600.0,600.0,True,7069
"Brasília, Brazil",,,,,,,error:AttributeError,error:AttributeError,,12.0,600.0,600.0,True,0
"Rio de Janeiro, Brazil",-43.1741692,-22.9035895,-43.18000887155176,-22.905368709439735,630.7065476656211,653.0,"geocode:Paço Imperial, Rio de Janeiro, Brazil",max_business_density_top5avg,EPSG:32723,10.0,600.0,600.0,True,4512
"São Paulo, Brazil",-46.6330228,-23.5480201,-46.64138434873981,-23.548218571213006,853.9827536047421,819.0,"geocode:Pateo do Collegio, São Paulo, Brazil",max_business_density_top5avg,EPSG:32723,10.0,600.0,600.0,True,12452
