city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,max_business_density,historic_method,business_method,utm_crs,core_radius_km,grid_cell_m,buffer_m,business_points
"Paris, France",2.3500501,48.8529371,2.3524005091866487,48.86473802395617,1323.1372262435782,1720.0,"geocode_landmark:Notre-Dame Cathedral, Paris, France",max_business_density_top5avg,EPSG:32631,15.0,600.0,600.0,35659
"Barcelona, Spain",2.1769912,41.3826497,2.155508850388447,41.398519892465025,2516.0480602541857,1805.0,"geocode_landmark:Plaça de Sant Jaume, Barcelona, Spain",max_business_density_top5avg,EPSG:32631,15.0,600.0,600.0,12735
"Vienna, Austria",16.3715166,48.2080838,16.359420603570157,48.20324925602918,1047.2440812066548,1074.0,"geocode_landmark:Stephansplatz, Vienna, Austria",max_business_density_top5avg,EPSG:32633,15.0,600.0,600.0,16880
Singapore,103.8526448,1.2930272,103.85673271158976,1.30122409729025,1013.9410593748564,587.0,"geocode_landmark:City Hall, Singapore",max_business_density_top5avg,EPSG:32648,15.0,600.0,600.0,12703
"New York City, NY, USA",-74.010253,40.7073223,-73.99213838993357,40.72337289079125,2348.6707794208774,959.0,"geocode_landmark:Federal Hall, New York, NY, USA",max_business_density_top5avg,EPSG:32618,12.0,650.0,650.0,21415
"London, UK",-0.0984506,51.5137872,-0.13810392381965583,51.51610810448502,2764.9825790872324,1888.0,"geocode_landmark:St Paul's Cathedral, London, UK",max_business_density_top5avg,EPSG:32630,12.0,650.0,650.0,42929
"Berlin, Germany",13.3777034,52.5162699,13.334450942442915,52.5084578857068,3061.6730810371796,733.0,"geocode_landmark:Brandenburg Gate, Berlin, Germany",max_business_density_top5avg,EPSG:32633,15.0,600.0,600.0,36236
"Rome, Italy",12.4768334,41.898616,12.486184849914464,41.90257758911091,892.1765056511312,622.0,"geocode_landmark:Pantheon, Rome, Italy",max_business_density_top5avg,EPSG:32633,15.0,600.0,600.0,11801
"Madrid, Spain",-3.7038762,40.416863,-3.7047548986561343,40.421110351216164,477.3267650594281,1173.0,"geocode_landmark:Puerta del Sol, Madrid, Spain",max_business_density_top5avg,EPSG:32630,15.0,600.0,600.0,18292
"Lisbon, Portugal",-9.1365543,38.7077934,-9.13949954539216,38.72017303906783,1397.3774078393474,706.0,"geocode_landmark:Praça do Comércio, Lisbon, Portugal",max_business_density_top5avg,EPSG:32629,15.0,600.0,600.0,7719
"Amsterdam, Netherlands",4.8923511,52.3731162,4.892463789031416,52.37154850618519,174.57869438509408,1084.0,"geocode_landmark:Dam Square, Amsterdam, Netherlands",max_business_density_top5avg,EPSG:32631,15.0,600.0,600.0,8969
"Brussels, Belgium",4.3525151,50.8467139,4.354232576601907,50.847079153662925,127.5647235430165,1257.0,"geocode_landmark:Grand-Place, Brussels, Belgium",max_business_density_top5avg,EPSG:32631,15.0,600.0,600.0,4086
"Copenhagen, Denmark",12.5800406,55.6756505,12.570133764213525,55.677354457484164,787.8357257606142,688.0,"geocode_landmark:Christiansborg Palace, Copenhagen, Denmark",max_business_density_top5avg,EPSG:32618,15.0,600.0,600.0,8443
"Stockholm, Sweden",18.0708198,59.3249967,18.0702452337696,59.33652653957632,1284.8166998999905,664.0,"geocode_landmark:Stortorget, Stockholm, Sweden",max_business_density_top5avg,EPSG:32633,15.0,600.0,600.0,6945
"Oslo, Norway",10.7372089,59.9075982,10.748376373049723,59.91371819926726,924.5635997565673,710.0,"geocode_landmark:Akershus Fortress, Oslo, Norway",max_business_density_top5avg,EPSG:32632,15.0,600.0,600.0,5394
"Helsinki, Finland",24.9522693,60.1695115,24.94172388227806,60.16497543269349,773.2352830618216,1380.0,"geocode_landmark:Senate Square, Helsinki, Finland",max_business_density_top5avg,EPSG:32635,15.0,600.0,600.0,7124
"Dublin, Ireland",-6.2670108,53.3426096,-6.26146973113716,53.344962484530114,452.516431253388,1122.0,"geocode_landmark:Dublin Castle, Dublin, Ireland",max_business_density_top5avg,EPSG:32629,15.0,600.0,600.0,8029
"Prague, Czechia",14.4209714,50.0874453,14.431907178798957,50.082991400678914,925.9269116473279,824.0,"geocode_landmark:Old Town Square, Prague, Czechia",max_business_density_top5avg,EPSG:32633,15.0,600.0,600.0,11403
