construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Stone,0.0,0.0,5.0,75.0,3.0,1.0,2.8,3.0,Open balcony,,Old Renovation,19000.0,USD,2022-11-25,7,40.3513253,45.12726749999999
Panels,0.0,0.0,5.0,47.0,1.0,1.0,3.0,2.0,Open balcony,,No Renovation,4500.0,USD,2022-11-25,4,40.6347411,44.4859782
Panels,0.0,1.0,9.0,68.0,2.0,1.0,2.5,6.0,Open balcony,,Old Renovation,17500.0,USD,2022-11-25,4,40.5410214,44.7690148
Stone,0.0,0.0,5.0,95.0,2.0,1.0,2.8,1.0,Closed balcony,,Old Renovation,100000.0,USD,2022-11-25,4,40.2715286,44.63338299999999
Panels,0.0,1.0,9.0,53.0,2.0,1.0,2.7,3.0,Closed balcony,By agreement,Cosmetic Renovation,44000.0,USD,2022-12-15,4,40.2715286,44.63338299999999
Stone,0.0,0.0,5.0,76.0,3.0,1.0,2.7,3.0,Closed balcony,Not available,Old Renovation,62000.0,USD,2022-12-15,4,40.2715286,44.63338299999999
Panels,0.0,0.0,2.0,76.0,3.0,1.0,3.0,2.0,Open balcony,,No Renovation,42000.0,USD,2022-12-15,4,40.210123,44.5091929
Stone,0.0,0.0,5.0,85.0,3.0,1.0,2.7,5.0,Not available,Not available,Old Renovation,35.851491,AMD,2022-12-15,6,40.807399,44.4970268
Bricks,0.0,0.0,5.0,72.0,3.0,1.0,2.5,1.0,Open balcony,Available,Old Renovation,32000.0,USD,2022-12-15,5,40.7929026,43.8464971
Stone,1.0,1.0,5.0,100.0,3.0,2.0,2.75,4.0,Open balcony,By agreement,Euro Renovation,150000.0,USD,2022-11-25,10,40.7405524,44.8625965
Stone,0.0,0.0,5.0,80.0,4.0,1.0,3.0,4.0,Open balcony,,Major Renovation,108000.0,USD,2022-11-25,1,40.1912299,44.4713366
Panels,0.0,1.0,14.0,76.0,2.0,1.0,2.75,8.0,Closed balcony,Available,Major Renovation,98000.0,USD,2022-11-25,1,40.21997080000001,44.4359686
Panels,0.0,1.0,9.0,72.0,2.0,1.0,2.75,5.0,Open balcony,Available,Euro Renovation,135000.0,USD,2022-11-25,1,40.2047454,44.5018408
Stone,0.0,0.0,5.0,120.0,4.0,1.0,2.8,3.0,Open balcony,Available,Major Renovation,215000.0,USD,2022-11-25,1,40.1815734,44.520049
Stone,0.0,0.0,5.0,90.0,3.0,1.0,3.0,3.0,Not available,Available,Euro Renovation,155000.0,USD,2022-11-25,1,40.1912299,44.4713366
Monolith,1.0,1.0,16.0,59.0,2.0,1.0,3.0,8.0,Open balcony,Available,Major Renovation,250000.0,USD,2022-11-25,1,40.1765399,44.5167009
Panels,0.0,1.0,10.0,86.0,3.0,1.0,2.8,2.0,Closed balcony,,Major Renovation,75000.0,USD,2022-11-25,1,40.1908407,44.559417
Monolith,0.0,1.0,9.0,70.0,2.0,1.0,2.75,7.0,Closed balcony,Not available,Old Renovation,56000.0,USD,2022-11-25,1,40.1379347,44.4787217
Monolith,1.0,1.0,14.0,60.0,2.0,1.0,3.0,12.0,Open balcony,Not available,No Renovation,81000.0,USD,2022-11-25,1,40.210123,44.5091929
Stone,0.0,0.0,5.0,76.0,3.0,1.0,2.75,1.0,Closed balcony,Not available,Major Renovation,115000.0,USD,2022-11-25,1,40.2057999,44.5062259
Stone,0.0,0.0,5.0,95.0,3.0,1.0,3.0,3.0,Open balcony,,Old Renovation,139000.0,USD,2022-11-25,1,40.2057999,44.5062259
Stone,0.0,1.0,6.0,94.0,4.0,1.0,3.0,5.0,Not available,,Designer Renovation,280000.0,USD,2022-11-25,1,40.1792461,44.5095374
Stone,0.0,0.0,5.0,54.0,2.0,2.0,2.75,4.0,Open balcony,Available,Major Renovation,140000.0,USD,2022-11-25,1,40.210123,44.5091929
Panels,1.0,1.0,16.0,63.0,2.0,1.0,2.75,2.0,Open balcony,Available,Old Renovation,75000.0,USD,2022-11-25,1,40.21246379999999,44.470005
Stone,0.0,0.0,5.0,72.0,3.0,2.0,3.0,3.0,Open balcony,Available,Major Renovation,250000.0,USD,2022-11-25,1,40.2057999,44.5062259
Panels,0.0,1.0,9.0,94.0,3.0,1.0,2.8,8.0,Open balcony,Not available,Euro Renovation,165000.0,USD,2022-11-25,1,40.1660217,44.5169416
Panels,0.0,1.0,10.0,46.0,1.0,1.0,2.7,6.0,Closed balcony,,Major Renovation,76500.0,USD,2022-11-25,1,40.1844812,44.5059276
Panels,0.0,1.0,10.0,85.0,3.0,3.0,3.0,3.0,Open balcony,Available,Major Renovation,130000.0,USD,2022-11-25,1,40.1658586,44.5131713
Stone,0.0,0.0,5.0,75.0,3.0,1.0,2.6,1.0,Closed balcony,,Partial Renovation,85000.0,USD,2022-11-25,1,40.2034871,44.523991
Panels,0.0,1.0,9.0,98.0,3.0,1.0,2.75,4.0,Multiple balconies,,Old Renovation,80000.0,USD,2022-11-25,1,40.1899228,44.582483
Stone,0.0,0.0,5.0,72.0,3.0,1.0,2.75,5.0,Closed balcony,,Major Renovation,86000.0,USD,2022-11-25,1,40.1813324,44.5145872
Panels,0.0,1.0,9.0,78.0,3.0,1.0,2.75,7.0,Closed balcony,,Major Renovation,119000.0,USD,2022-11-25,1,40.2001069,44.5664826
Monolith,1.0,1.0,6.0,130.0,3.0,2.0,3.0,2.0,Open balcony,Not available,Partial Renovation,185000.0,USD,2022-11-25,1,40.2088444,44.4990182
Monolith,1.0,1.0,16.0,65.0,2.0,1.0,2.8,8.0,Open balcony,Available,Major Renovation,180000.0,USD,2022-11-25,1,40.2057999,44.5062259
Stone,0.0,0.0,2.0,152.0,5.0,2.0,2.7,2.0,Multiple balconies,,Major Renovation,150000.0,USD,2022-11-25,1,40.21997080000001,44.4359686
