city,historic_lon,historic_lat,business_lon,business_lat,dist_hist_to_bus_m,business_area_km2,business_points_total,business_points_cluster,cluster_method,business_center_method,polygon_file,utm_crs,core_radius_km,include_shops,dbscan_eps_m,dbscan_min_samples,poly_point_buffer_m,poly_simplify_m
"Paris, France",2.3500501,48.8529371,2.3400552477184533,48.85891893392504,989.8168587499168,84.25879881451141,35659,35628,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\paris_france.geojson,EPSG:32631,12.0,True,450.0,25,180.0,60.0
"London, UK",-0.0984506,51.5137872,-0.1202166770164171,51.51027384436816,1560.9366521379245,171.74416213456175,36171,34024,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\london_uk.geojson,EPSG:32630,10.0,True,450.0,25,180.0,60.0
"Berlin, Germany",13.3777034,52.5162699,13.3915741702852,52.50807026736193,1310.9060070112523,183.56161934387612,32226,28191,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\berlin_germany.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Rome, Italy",12.4768334,41.898616,12.496511617693955,41.89144258167691,1817.2815311397385,58.09732625875763,11174,6822,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\rome_italy.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Madrid, Spain",-3.7038762,40.416863,-3.69615475957691,40.42345913909457,982.4576334084288,87.28837646610616,18070,15305,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\madrid_spain.geojson,EPSG:32630,12.0,True,450.0,25,180.0,60.0
"Lisbon, Portugal",-9.1365543,38.7077934,-9.16301909010203,38.73155953649504,3499.713547232966,39.07736619668771,7719,6752,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\lisbon_portugal.geojson,EPSG:32629,12.0,True,450.0,25,180.0,60.0
"Amsterdam, Netherlands",4.8923511,52.3731162,4.883064861846505,52.36582855374805,1028.2213914889305,47.896349157730995,8969,7365,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\amsterdam_netherlands.geojson,EPSG:32631,12.0,True,450.0,25,180.0,60.0
"Brussels, Belgium",4.3525151,50.8467139,4.35863418367821,50.85161414949217,694.6906040206584,15.497246083472422,4086,3691,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\brussels_belgium.geojson,EPSG:32631,12.0,True,450.0,25,180.0,60.0
"Copenhagen, Denmark",12.5800406,55.6756505,12.566592490271454,55.68462341915151,1582.9583057459968,43.522423378185586,7714,4810,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\copenhagen_denmark.geojson,EPSG:32618,12.0,True,450.0,25,180.0,60.0
"Stockholm, Sweden",18.0708198,59.3249967,18.063873317872154,59.32451059310773,399.1648044132785,26.544512952739932,6711,4446,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\stockholm_sweden.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Oslo, Norway",10.7372089,59.9075982,10.762455416758788,59.92408265933931,2316.1509831134927,31.39484287775996,5375,4085,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\oslo_norway.geojson,EPSG:32632,12.0,True,450.0,25,180.0,60.0
"Helsinki, Finland",24.9522693,60.1695115,24.941820187607124,60.18059752419612,1364.2130821180438,19.328738474308256,6933,4642,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\helsinki_finland.geojson,EPSG:32635,12.0,True,450.0,25,180.0,60.0
"Dublin, Ireland",-6.2670108,53.3426096,-6.271443867042936,53.34195207546641,304.1994166876255,34.33039746429653,8029,6502,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\dublin_ireland.geojson,EPSG:32629,12.0,True,450.0,25,180.0,60.0
"Reykjavik, Iceland",-21.9397458,64.1472129,-21.910927825849896,64.14282384126132,1485.1260973534647,6.126226007899649,1373,958,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\reykjavik_iceland.geojson,EPSG:32627,12.0,True,450.0,25,180.0,60.0
"Vienna, Austria",16.3715166,48.2080838,16.35610620860378,48.20360953665439,1248.463089024398,73.47769672162644,16862,12727,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\vienna_austria.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Prague, Czechia",14.4209714,50.0874453,14.453267750676964,50.085548343122,2320.082959286149,60.86898795272883,11073,7825,dbscan_eps450.0_min25_label2,polygon_centroid,data/city_centers\business_area_polygons_geojson\prague_czechia.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Warsaw, Poland",21.0137866,52.2479394,20.979980510579253,52.210660696134006,4745.92848636715,133.93120679964503,25627,18230,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\warsaw_poland.geojson,EPSG:32634,12.0,True,450.0,25,180.0,60.0
"Budapest, Hungary",19.0398008,47.4959913,19.069447979549842,47.51296561357385,2923.68405907117,91.30552510430408,16782,13232,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\budapest_hungary.geojson,EPSG:32634,12.0,True,450.0,25,180.0,60.0
"Bratislava, Slovakia",17.1004695,48.1425867,17.1455180223005,48.160930141441874,3923.3314023086396,27.015012646790712,7464,5953,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\bratislava_slovakia.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Ljubljana, Slovenia",14.5085383,46.0487819,14.504059155749582,46.060856056285864,1385.5820001456366,20.454027964829255,2159,1441,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\ljubljana_slovenia.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Zagreb, Croatia",15.9768439,45.8129597,15.962712184394361,45.800646598628,1754.3203597543968,44.377857710742234,6859,5239,dbscan_eps450.0_min25_label0,polygon_centroid,data/city_centers\business_area_polygons_geojson\zagreb_croatia.geojson,EPSG:32633,12.0,True,450.0,25,180.0,60.0
"Belgrade, Serbia",20.4636565,44.8170439,20.47731414400961,44.79406758864121,2771.4718395584787,28.876465686524085,10368,5067,dbscan_eps450.0_min25_label1,polygon_centroid,data/city_centers\business_area_polygons_geojson\belgrade_serbia.geojson,EPSG:32634,12.0,True,450.0,25,180.0,60.0
