historic,memorial,artist_name,artist_name:en,artist_name:ru,artwork_type,height,min_height,name,name:de,name:en,name:fa,name:fr,name:hy,name:ml,name:ru,name:tr,start_date,tourism,wikidata,wikipedia,material,wikipedia:fr,wikipedia:hy,wikipedia:ru,amenity,man_made,wikimedia_commons,author,architect,year,statue,subject:wikidata,subject:wikipedia,check_date,fountain,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,email,fax,fee,name:ca,opening_hours,phone,website,memorial:subject:ru,name:ja,name:simple,contact:facebook,contact:linkedin,contact:twitter,contact:youtube,facebook,name:uk,wheelchair,contact:instagram,inscription,inscription:hy,inscription:ru,contact:email,contact:website,alt_name:en,charge,name:pl,artist_name:hy,memorial:conflict,operator,operator:en,operator:hy,operator:ref,price,wikipedia:en,seasonal,bottle,stele,war_memorial,drinking_water,zoo,material:wikidata,capacity,fixme,museum,was:amenity,contact:phone,layer,disused:amenity,payment:american_express,payment:mastercard,payment:visa,note,internet_access,description,addr:city:en,addr:street:en,alt_name,artist:wikipedia,monument,model,model:wikidata,vehicle:type,name:etymology:wikidata,location,source,covered,lit,subject:en,level,colour,type,religion,year_of_construction,short_name,short_name:en,short_name:hy,openplaques:id,historic:civilization,ruins,surface,backrest,seats,memorial:subject,subject:wikipedia:ru,outdoor_seating,description:ru,ele,archaeological_site,image,support,inscription:en,building,building:levels,int_name,area,loc_name,highway,name:etymology,building:colour,building:material,roof:shape,denomination,instagram,roof:levels,building:levels:underground,attraction,alt_name:hy,alt_name:ru,bridge:structure,old_name,old_name:en,old_name:hy,old_name:ru,building:facade:colour,building:facade:material,fence,fence_type,contact:tiktok,toilets:wheelchair,tomb,historic:period,area:highway,architect:wikidata,artist:wikidata,name:ku,artist_name:fr,name:es,payment:cash,payment:credit_cards,wikipedia:de,artwork_subject,addr:floor,description:en,sculpture_type,nat_name,panoramax,name:prg,barrier,railing,handrail,incline,ramp,step_count,smoothness,tunnel,orig_geom_type,orig_geom_wkt,feature_id,dist_to_g_m,lon,lat,geometry_wkt
memorial,plaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458148.845128 4445055.189983),1,2541.8337003808533,44.5085978,40.15480650000001,POINT (44.508598 40.154807)
monument,,Արա Հարությունյան,Ara Harutyunyan,Ара Арутюнян,statue,54,32,Մայր Հայաստան,Mutter Armenien,Mother Armenia,مادر ارمنستان,Mère Arménie,Մայր Հայաստան,മദർ അർമേനിയ,Мать Армения,Ermenistan Ana,1967,artwork,Q2389195,hy:Մայր Հայաստան հուշահամալիր,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459541.952802 4449526.225457),2,2212.8538094042015,44.5246737,40.1951553,POINT (44.524674 40.195155)
memorial,statue,,,,,,,Առնո Բաբաջանյան,,Arno Babajanyan,,d'Arno Babadjanian,Առնո Բաբաջանյան,,Арно Бабаджанян,,2003,,Q20513673,hy:Առնո Բաբաջանյանի հուշարձան (Երևան),granite;bronze,statue d'Arno Babadjanian (Erevan),Առնո Բաբաջանյանի հուշարձան (Երևան),/Памятник_Арно_Бабаджаняну_(Ереван),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458761.093396 4448298.226448),3,770.4024022775512,44.5155787,40.184054,POINT (44.515579 40.184054)
memorial,statue,,,,,,,Հովհաննես Թումանյանի արձան,,Hovhannes Tumanyan monument,بنای یادبود هوهانس تومانیان,,Հովհաննես Թումանյանի արձան,,Ованес Туманян,,,,Q16388673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458687.610891 4448450.128532),4,897.0634034494631,44.5147058,40.1854189,POINT (44.514706 40.185419)
memorial,statue,,,,,,,Ալեքսանդր Սպենդիարյանի արձան,,Aleksandr Spendiarian monument,بنای یادبود الکساندر اسپندیاریان,,Ալեքսանդր Սպենդիարյանի արձան,,Александр Спендиарян,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458743.858672 4448445.714402),5,906.0155947074524,44.5153668,40.18538190000001,POINT (44.515367 40.185382)
,statue,,,,statue,,,Մարտիրոս Սարյանի արձան,,Martiros Saryan monument,,,Մարտիրոս Սարյանի արձան,,Статуя Мартироса Сарьяна (1880-1972),,,artwork,Q16392963,hy:Մարտիրոս Սարյանի հուշարձան (Երևան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458647.774114 4448656.391579),6,1093.7885236462173,44.5142246,40.187275199999995,POINT (44.514225 40.187275)
,statue,David Yerevantsi,,,statue,,,Վիլյամ Սարոյանի արձան,,William Saroyan statue,,statue de William Saroyan,Վիլյամ Սարոյանի արձան,,Памятник Уильяму Сарояну,,2008,artwork,Q16400711,hy:Վիլյամ Սարոյանի հուշարձան (Երևան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458793.237628 4448752.265111),7,1215.1503262449326,44.5159272,40.18814609999999,POINT (44.515927 40.188146)
memorial,sculpture,Ara Harutyunyan,,,,,,Սայաթ Նովայի հուշարձան,,Sayat Nova monument,,monument à Sayat-Nova,Սայաթ Նովայի հուշարձան,,Саят-Нова,,1963,,Q33139915,,,,,,drinking_water,water_tap,"File:Monument_à_Sayat-Nova,_Erevan,_2017.JPG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458839.02339 4448720.159257),8,1196.022729428255,44.5164671,40.187859100000004,POINT (44.516467 40.187859)
memorial,statue,,,,,,,Տղամարդիկ,,The Men,,,Տղամարդիկ,,Мужчины,,2007,,Q16364259,"hy:Տղամարդիկ (արձանախումբ, Երևան)",bronze,,,,,,,Davit Minasyan (Դավիթ Յուրիի Մինասյան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458623.108088 4448607.432236),9,1042.1591469362165,44.513938,40.1868329,POINT (44.513938 40.186833)
monument,,,,,,,,Վերածնված Հայաստան,,Reborn Armenia,,,Վերածնված Հայաստան,,Возрождённая Армения,,,,Q25487416,,,,,,,obelisk,,,"Jim Torosyan, Sargis Gurzadyan",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458787.676926 4449518.336155),10,1966.8140200762584,44.5158128,40.195047499999994,POINT (44.515813 40.195047)
